,Table,Treat,Cv,Stem,Days_to_Term,Term_for_Bc_,flw,jar,pretreat,post,open,Bc_F,Bc_L,Day,Bc_F_per,tf_BC_F,Day2,Day3,Day4,Day5,Bc_F.per,Bc_F.logit.per
63,1,4,F,2,13,1,11,4,4,1,2,6,0,12,0.38,-0.489548225,144,1728,20736,248832,38,-0.489548225
64,1,4,F,2,13,1,11,4,4,1,1,8,0,13,0.88,1.992430165,169,2197,28561,371293,88,1.992430165
65,1,4,F,3,10,1,12,4,4,1,1,1,0,1,0.005,-5.293304825,1,1,1,1,0.5,-5.293304825
66,1,4,F,3,10,1,12,4,4,1,1,1,0,2,0.005,-5.293304825,4,8,16,32,0.5,-5.293304825
67,1,4,F,3,10,1,12,4,4,1,1,2,0,3,0.01,-4.59511985,9,27,81,243,1,-4.59511985
68,1,4,F,3,10,1,12,4,4,1,1,4,1,4,0.09,-2.313634929,16,64,256,1024,9,-2.313634929
69,1,4,F,3,10,1,12,4,4,1,1,4,1,5,0.09,-2.313634929,25,125,625,3125,9,-2.313634929
70,1,4,F,3,10,1,12,4,4,1,1,5,1,6,0.14,-1.815289967,36,216,1296,7776,14,-1.815289967
71,1,4,F,3,10,1,12,4,4,1,1,6,1,7,0.38,-0.489548225,49,343,2401,16807,38,-0.489548225
72,1,4,F,3,10,1,12,4,4,1,1,7,1,8,0.63,0.532216814,64,512,4096,32768,63,0.532216814
73,1,4,F,3,10,1,12,4,4,1,1,7,1,9,0.38,-0.489548225,81,729,6561,59049,63,0.532216814
74,1,4,F,3,10,1,12,4,4,1,1,7,1,10,0.63,0.532216814,100,1000,10000,1.00E+05,63,0.532216814
75,1,5,V,1,12,1,13,5,5,1,1,1,0,1,0.005,-5.293304825,1,1,1,1,0.5,-5.293304825
76,1,5,V,1,12,1,13,5,5,1,1,1,0,2,0.005,-5.293304825,4,8,16,32,0.5,-5.293304825
77,1,5,V,1,12,1,13,5,5,1,1,1,0,3,0.005,-5.293304825,9,27,81,243,0.5,-5.293304825
78,1,5,V,1,12,1,13,5,5,1,2,2,1,4,0.01,-4.59511985,16,64,256,1024,1,-4.59511985
79,1,5,V,1,12,1,13,5,5,1,2,2,1,5,0.005,-5.293304825,25,125,625,3125,1,-4.59511985
80,1,5,V,1,12,1,13,5,5,1,2,3,1,6,0.035,-3.31678004,36,216,1296,7776,3.5,-3.31678004
81,1,5,V,1,12,1,13,5,5,1,2,3,1,7,0.035,-3.31678004,49,343,2401,16807,3.5,-3.31678004
82,1,5,V,1,12,1,13,5,5,1,2,3,1,8,0.035,-3.31678004,64,512,4096,32768,3.5,-3.31678004
83,1,5,V,1,12,1,13,5,5,1,2,3,0,9,0.035,-3.31678004,81,729,6561,59049,3.5,-3.31678004
84,1,5,V,1,12,1,13,5,5,1,2,3,0,10,0.035,-3.31678004,100,1000,10000,1.00E+05,3.5,-3.31678004
85,1,5,V,1,12,1,13,5,5,1,2,4,1,11,0.09,-2.313634929,121,1331,14641,161051,9,-2.313634929
86,1,5,V,1,12,1,13,5,5,1,2,8,1,12,0.88,1.992430165,144,1728,20736,248832,88,1.992430165
87,1,5,V,2,14,0,14,5,5,1,1,1,0,1,0.005,-5.293304825,1,1,1,1,0.5,-5.293304825
88,1,5,V,2,14,0,14,5,5,1,2,1,0,2,0.005,-5.293304825,4,8,16,32,0.5,-5.293304825
89,1,5,V,2,14,0,14,5,5,1,2,2,0,3,0.01,-4.59511985,9,27,81,243,1,-4.59511985
90,1,5,V,2,14,0,14,5,5,1,2,3,0,4,0.035,-3.31678004,16,64,256,1024,3.5,-3.31678004
91,1,5,V,2,14,0,14,5,5,1,3,3,0,5,0.035,-3.31678004,25,125,625,3125,3.5,-3.31678004
92,1,5,V,2,14,0,14,5,5,1,3,4,0,6,0.09,-2.313634929,36,216,1296,7776,9,-2.313634929
93,1,5,V,2,14,0,14,5,5,1,3,4,0,7,0.035,-3.31678004,49,343,2401,16807,9,-2.313634929
94,1,5,V,2,14,0,14,5,5,1,2,4,1,8,0.09,-2.313634929,64,512,4096,32768,9,-2.313634929
95,1,5,V,2,14,0,14,5,5,1,2,5,1,9,0.14,-1.815289967,81,729,6561,59049,14,-1.815289967
96,1,5,V,2,14,0,14,5,5,1,2,6,1,10,0.38,-0.489548225,100,1000,10000,1.00E+05,38,-0.489548225
97,1,5,V,2,14,0,14,5,5,1,2,6,1,11,0.38,-0.489548225,121,1331,14641,161051,38,-0.489548225
98,1,5,V,2,14,0,14,5,5,1,2,6,1,12,0.09,-2.313634929,144,1728,20736,248832,38,-0.489548225
99,1,5,V,2,14,0,14,5,5,1,2,6,1,13,0.09,-2.313634929,169,2197,28561,371293,38,-0.489548225
100,1,5,V,2,14,0,14,5,5,1,2,6,1,14,0.09,-2.313634929,196,2744,38416,537824,38,-0.489548225
101,1,5,V,3,9,0,15,5,5,1,2,1,0,1,0.005,-5.293304825,1,1,1,1,0.5,-5.293304825
102,1,5,V,3,9,0,15,5,5,1,2,2,0,2,0.01,-4.59511985,4,8,16,32,1,-4.59511985
103,1,5,V,3,9,0,15,5,5,1,2,2,0,3,0.01,-4.59511985,9,27,81,243,1,-4.59511985
104,1,5,V,3,9,0,15,5,5,1,2,3,0,4,0.035,-3.31678004,16,64,256,1024,3.5,-3.31678004
105,1,5,V,3,9,0,15,5,5,1,2,3,0,5,0.035,-3.31678004,25,125,625,3125,3.5,-3.31678004
106,1,5,V,3,9,0,15,5,5,1,2,3,0,6,0.035,-3.31678004,36,216,1296,7776,3.5,-3.31678004
107,1,5,V,3,9,0,15,5,5,1,2,4,0,7,0.09,-2.313634929,49,343,2401,16807,9,-2.313634929
108,1,5,V,3,9,0,15,5,5,1,3,5,0,8,0.14,-1.815289967,64,512,4096,32768,14,-1.815289967
109,1,5,V,3,9,0,15,5,5,1,3,5,1,9,0.09,-2.313634929,81,729,6561,59049,14,-1.815289967
110,1,1,F,1,7,1,16,6,1,1,1,2,0,1,0.01,-4.59511985,1,1,1,1,1,-4.59511985
111,1,1,F,1,7,1,16,6,1,1,1,3,0,2,0.035,-3.31678004,4,8,16,32,3.5,-3.31678004
112,1,1,F,1,7,1,16,6,1,1,1,3,0,3,0.035,-3.31678004,9,27,81,243,3.5,-3.31678004
113,1,1,F,1,7,1,16,6,1,1,1,4,0,4,0.09,-2.313634929,16,64,256,1024,9,-2.313634929
114,1,1,F,1,7,1,16,6,1,1,1,5,0,5,0.14,-1.815289967,25,125,625,3125,14,-1.815289967
115,1,1,F,1,7,1,16,6,1,1,1,5,0,6,0.14,-1.815289967,36,216,1296,7776,14,-1.815289967
116,1,1,F,1,7,1,16,6,1,1,1,6,0,7,0.38,-0.489548225,49,343,2401,16807,38,-0.489548225
117,1,1,F,2,5,0,17,6,1,1,1,1,0,1,0.005,-5.293304825,1,1,1,1,0.5,-5.293304825
118,1,1,F,2,5,0,17,6,1,1,1,1,0,2,0.005,-5.293304825,4,8,16,32,0.5,-5.293304825
119,1,1,F,2,5,0,17,6,1,1,1,2,0,3,0.01,-4.59511985,9,27,81,243,1,-4.59511985
120,1,1,F,2,5,0,17,6,1,1,1,3,0,4,0.035,-3.31678004,16,64,256,1024,3.5,-3.31678004
121,1,1,F,2,5,0,17,6,1,1,2,4,0,5,0.09,-2.313634929,25,125,625,3125,9,-2.313634929
122,1,1,F,3,5,0,18,6,1,1,1,1,1,1,0.005,-5.293304825,1,1,1,1,0.5,-5.293304825
123,1,1,F,3,5,0,18,6,1,1,1,1,1,2,0.005,-5.293304825,4,8,16,32,0.5,-5.293304825
124,1,1,F,3,5,0,18,6,1,1,1,2,1,3,0.01,-4.59511985,9,27,81,243,1,-4.59511985
125,1,1,F,3,5,0,18,6,1,1,1,4,1,4,0.09,-2.313634929,16,64,256,1024,9,-2.313634929
126,1,1,F,3,5,0,18,6,1,1,1,4,1,5,0.09,-2.313634929,25,125,625,3125,9,-2.313634929
127,1,2,V,1,6,1,19,7,2,1,2,2,0,1,0.01,-4.59511985,1,1,1,1,1,-4.59511985
128,1,2,V,1,6,1,19,7,2,1,2,4,0,2,0.09,-2.313634929,4,8,16,32,9,-2.313634929
129,1,2,V,1,6,1,19,7,2,1,2,5,0,3,0.14,-1.815289967,9,27,81,243,14,-1.815289967
130,1,2,V,1,6,1,19,7,2,1,3,6,0,4,0.38,-0.489548225,16,64,256,1024,38,-0.489548225
131,1,2,V,1,6,1,19,7,2,1,3,6,0,5,0.38,-0.489548225,25,125,625,3125,38,-0.489548225
132,1,2,V,1,6,1,19,7,2,1,3,8,0,6,0.88,1.992430165,36,216,1296,7776,88,1.992430165
133,1,2,V,2,7,0,20,7,2,1,1,2,0,1,0.01,-4.59511985,1,1,1,1,1,-4.59511985
134,1,2,V,2,7,0,20,7,2,1,2,2,0,2,0.01,-4.59511985,4,8,16,32,1,-4.59511985
135,1,2,V,2,7,0,20,7,2,1,2,2,0,3,0.01,-4.59511985,9,27,81,243,1,-4.59511985
136,1,2,V,2,7,0,20,7,2,1,2,3,0,4,0.035,-3.31678004,16,64,256,1024,3.5,-3.31678004
